FILM,IMDB,IMDB_norm,IMDB_norm_round,IMDB_user_vote_count
Avengers: Age of Ultron (2015),7.8,3.9,4.0,271107
Cinderella (2015),7.1,3.55,3.5,65709
Ant-Man (2015),7.8,3.9,4.0,103660
Do You Believe? (2015),5.4,2.7,2.5,3136
Hot Tub Time Machine 2 (2015),5.1,2.55,2.5,19560
The Water Diviner (2015),7.2,3.6,3.5,39373
Irrational Man (2015),6.9,3.45,3.5,2680
Top Five (2014),6.5,3.25,3.5,16876
Shaun the Sheep Movie (2015),7.4,3.7,3.5,12227
Love & Mercy (2015),7.8,3.9,4.0,5367
Far From The Madding Crowd (2015),7.2,3.6,3.5,12129
Black Sea (2015),6.4,3.2,3.0,16547
Leviathan (2014),7.7,3.85,4.0,22521
Unbroken (2014),7.2,3.6,3.5,77518
The Imitation Game (2014),8.1,4.05,4.0,334164
Taken 3 (2015),6.1,3.05,3.0,104235
Ted 2 (2015),6.6,3.3,3.5,49102
Southpaw (2015),7.8,3.9,4.0,23561
Night at the Museum: Secret of the Tomb (2014),6.3,3.15,3.0,50291
Pixels (2015),5.6,2.8,3.0,19521
"McFarland, USA (2015)",7.5,3.75,4.0,13769
Insidious: Chapter 3 (2015),6.3,3.15,3.0,25134
The Man From U.N.C.L.E. (2015),7.6,3.8,4.0,22104
Run All Night (2015),6.6,3.3,3.5,50438
Trainwreck (2015),6.7,3.35,3.5,27380
Selma (2014),7.5,3.75,4.0,45344
Ex Machina (2015),7.7,3.85,4.0,154499
Still Alice (2015),7.5,3.75,4.0,57123
Wild Tales (2014),8.2,4.1,4.0,50285
The End of the Tour (2015),7.9,3.95,4.0,1320
Red Army (2015),7.7,3.85,4.0,2275
When Marnie Was There (2015),7.8,3.9,4.0,4160
The Hunting Ground (2015),7.5,3.75,4.0,1196
The Boy Next Door (2015),4.6,2.3,2.5,19658
Aloha (2015),5.5,2.75,3.0,12255
The Loft (2015),6.3,3.15,3.0,21319
5 Flights Up (2015),6.1,3.05,3.0,2174
Welcome to Me (2015),5.9,2.95,3.0,8301
Saint Laurent (2015),6.3,3.15,3.0,2196
Maps to the Stars (2015),6.3,3.15,3.0,22440
I'll See You In My Dreams (2015),6.9,3.45,3.5,1151
Timbuktu (2015),7.2,3.6,3.5,6246
About Elly (2015),8.2,4.1,4.0,20659
The Diary of a Teenage Girl (2015),7.0,3.5,3.5,1107
Kingsman: The Secret Service (2015),7.8,3.9,4.0,272204
Tomorrowland (2015),6.6,3.3,3.5,42937
The Divergent Series: Insurgent (2015),6.4,3.2,3.0,89618
Annie (2014),5.2,2.6,2.5,19222
Fantastic Four (2015),4.0,2.0,2.0,39838
Terminator Genisys (2015),6.9,3.45,3.5,85585
Pitch Perfect 2 (2015),6.7,3.35,3.5,56333
Entourage (2015),7.1,3.55,3.5,21914
The Age of Adaline (2015),7.3,3.65,3.5,45510
Hot Pursuit (2015),4.9,2.45,2.5,17061
The DUFF (2015),6.6,3.3,3.5,33594
Black or White (2015),6.6,3.3,3.5,4857
Project Almanac (2015),6.4,3.2,3.0,40057
Ricki and the Flash (2015),6.2,3.1,3.0,1769
Seventh Son (2015),5.5,2.75,3.0,41177
Mortdecai (2015),5.5,2.75,3.0,31878
Unfinished Business (2015),5.4,2.7,2.5,14346
American Ultra (2015),6.5,3.25,3.5,3017
True Story (2015),6.3,3.15,3.0,16069
Child 44 (2015),6.4,3.2,3.0,19220
Dark Places (2015),6.3,3.15,3.0,9856
Birdman (2014),7.9,3.95,4.0,303505
The Gift (2015),7.6,3.8,4.0,10891
Unfriended (2015),5.9,2.95,3.0,22348
Monkey Kingdom (2015),7.3,3.65,3.5,883
Mr. Turner (2014),6.9,3.45,3.5,13296
Seymour: An Introduction (2015),7.7,3.85,4.0,243
The Wrecking Crew (2015),7.8,3.9,4.0,732
American Sniper (2015),7.4,3.7,3.5,251856
Furious 7 (2015),7.4,3.7,3.5,207211
The Hobbit: The Battle of the Five Armies (2014),7.5,3.75,4.0,289464
San Andreas (2015),6.5,3.25,3.5,45723
Straight Outta Compton (2015),8.4,4.2,4.0,15982
Vacation (2015),6.3,3.15,3.0,8179
Chappie (2015),7.0,3.5,3.5,125088
Poltergeist (2015),5.0,2.5,2.5,21372
Paper Towns (2015),6.9,3.45,3.5,14156
Big Eyes (2014),7.0,3.5,3.5,39152
Blackhat (2015),5.4,2.7,2.5,27328
Self/less (2015),6.6,3.3,3.5,5626
Sinister 2 (2015),5.5,2.75,3.0,3200
Little Boy (2015),7.4,3.7,3.5,5927
Me and Earl and The Dying Girl (2015),8.2,4.1,4.0,5269
Maggie (2015),5.6,2.8,3.0,18986
Mad Max: Fury Road (2015),8.3,4.15,4.0,292023
Spy (2015),7.3,3.65,3.5,66636
The SpongeBob Movie: Sponge Out of Water (2015),6.1,3.05,3.0,26046
Paddington (2015),7.2,3.6,3.5,38593
Dope (2015),7.5,3.75,4.0,4911
What We Do in the Shadows (2015),7.6,3.8,4.0,39561
The Overnight (2015),6.9,3.45,3.5,867
The Salt of the Earth (2015),8.4,4.2,4.0,6605
Song of the Sea (2014),8.2,4.1,4.0,14067
Fifty Shades of Grey (2015),4.2,2.1,2.0,179506
Get Hard (2015),6.1,3.05,3.0,50022
Focus (2015),6.6,3.3,3.5,101264
Jupiter Ascending (2015),5.5,2.75,3.0,105412
The Gallows (2015),4.4,2.2,2.0,5511
The Second Best Exotic Marigold Hotel (2015),6.6,3.3,3.5,12940
Strange Magic (2015),5.7,2.85,3.0,3658
The Gunman (2015),5.8,2.9,3.0,16663
Hitman: Agent 47 (2015),5.9,2.95,3.0,4260
Cake (2015),6.5,3.25,3.5,19627
The Vatican Tapes (2015),4.6,2.3,2.5,952
A Little Chaos (2015),6.4,3.2,3.0,4778
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),7.1,3.55,3.5,17237
Escobar: Paradise Lost (2015),6.6,3.3,3.5,7819
Into the Woods (2014),6.0,3.0,3.0,81679
It Follows (2015),6.9,3.45,3.5,64656
Inherent Vice (2014),6.7,3.35,3.5,44711
A Most Violent Year (2014),7.1,3.55,3.5,32166
While We're Young (2015),6.4,3.2,3.0,17647
Clouds of Sils Maria (2015),6.8,3.4,3.5,11392
Testament of Youth (2015),7.3,3.65,3.5,5495
Infinitely Polar Bear (2015),7.2,3.6,3.5,1062
Phoenix (2015),7.2,3.6,3.5,3687
The Wolfpack (2015),7.1,3.55,3.5,1488
The Stanford Prison Experiment (2015),7.1,3.55,3.5,950
Tangerine (2015),7.4,3.7,3.5,696
Magic Mike XXL (2015),6.3,3.15,3.0,11937
Home (2015),6.7,3.35,3.5,41158
The Wedding Ringer (2015),6.7,3.35,3.5,37292
Woman in Gold (2015),7.4,3.7,3.5,17957
The Last Five Years (2015),6.0,3.0,3.0,4110
Mission: Impossible â€“ Rogue Nation (2015),7.8,3.9,4.0,82579
Amy (2015),8.0,4.0,4.0,5630
Jurassic World (2015),7.3,3.65,3.5,241807
Minions (2015),6.7,3.35,3.5,55895
Max (2015),7.0,3.5,3.5,5444
Paul Blart: Mall Cop 2 (2015),4.3,2.15,2.0,15004
The Longest Ride (2015),7.2,3.6,3.5,25214
The Lazarus Effect (2015),5.2,2.6,2.5,17691
The Woman In Black 2 Angel of Death (2015),4.9,2.45,2.5,14873
Danny Collins (2015),7.1,3.55,3.5,11206
Spare Parts (2015),7.2,3.6,3.5,47377
Serena (2015),5.4,2.7,2.5,12165
Inside Out (2015),8.6,4.3,4.5,96252
Mr. Holmes (2015),7.4,3.7,3.5,7367
'71 (2015),7.2,3.6,3.5,24116
"Two Days, One Night (2014)",7.4,3.7,3.5,24345
Gett: The Trial of Viviane Amsalem (2015),7.8,3.9,4.0,1955
"Kumiko, The Treasure Hunter (2015)",6.7,3.35,3.5,5289
